URL,Station de service,Ville,Adresse,Coordinates,Energies,Lavage,Paiement,Produits & Services,Services,Club TotalEnergies,Truck,H2 Conversion
https://store.totalenergies.fr/fr_FR/NF080066,EURL STATION SERVICE COTOISE,LA COTE SAINT ANDRE,"2935 CHEMIN DE LA VOIE FERREE  , 38260 LA COTE SAINT ANDRE, FRANCE","45.3509664,5.281778699999999","GNR, Excellium Diesel, Diesel, SP95 e10, Excellium Grand Froid, AdBlue Truck, Excellium 98, ","Lavage à Rouleaux, ","Mastercard, Carte Jubileo, Mobility de TotalEnergies, American Express, DKV, Eurotrafic, UTA, Visa, Carte Club TotalEnergies, MOL, Aral, Routex, ","AdBlue Truck, ","Wifi, Lavage à Rouleaux, Toilettes, ","Assistance Club 30 Jours, Jauge Cadeau, Club Truck, Carte Club acceptée, Cagnotte TotalEnergies, Adhésion station, ","Pompes PL, Truck, ",0
https://store.totalenergies.fr/fr_FR/NF080072,REL.DRUMETTAZ,MOUXY,"A41N - AIRE DE DRUMETTAZ  , 73100 MOUXY, FRANCE","45.671478,5.9263246","Borne AC43/DC50 kW, Borne DC175 kW, Excellium 98, Excellium Diesel, Diesel, GPL, Super Ethanol e85, SP95 e10, GNR, Excellium Grand Froid, AdBlue Truck, ",,"Mobility de TotalEnergies, Aral, MOL, American Express, DKV, Mastercard, Eurotrafic, UTA, Visa, Carte Jubileo, Carte Club TotalEnergies, Routex, ","AdBlue Truck, ","Défibrillateur, Café, Scan, Pay & Go Lyf Pay, Wifi, Autoroutière, Justbip, Toilettes, Gonflage, Click & Collect Lyf, ","Assistance Club 30 Jours, Club Truck, Cagnotte TotalEnergies, Jauge Cadeau, Adhésion station, Carte Club acceptée, Club Bus, ","Pompes PL, Truck, ",0
https://store.totalenergies.fr/fr_FR/NF080130,SOCIETE ADROLE,DECINES CHARPIEU,"397 AVENUE JEAN JAURES  , 69150 DECINES CHARPIEU, FRANCE","45.7718618,4.9795536","Excellium 98, Excellium Diesel, Diesel, GPL, Super Ethanol e85, SP95 e10, Excellium Grand Froid, AdBlue Truck, ","Lavage Haute Pression, Aspirateur, Lavage à Rouleaux, ","DKV, UTA, Mobility de TotalEnergies, Mastercard, American Express, Eurotrafic, Visa, Carte Club TotalEnergies, Carte Jubileo, MOL, Aral, Routex, ","AdBlue Truck, ","Wifi, Lavage à Rouleaux, Toilettes, ","Assistance Club 30 Jours, Jauge Cadeau, Club Truck, Carte Club acceptée, Cagnotte TotalEnergies, Adhésion station, ","Pompes PL, Truck, ",0
https://store.totalenergies.fr/fr_FR/NF080175,REL.LES VOLCANS-D'AUVERGNE OUEST PL,CHAMPS,"A71 - AIRE DES VOLCANS D' AUVERGNE  , 63440 CHAMPS, FRANCE","46.0577994,3.1121084","Diesel, AdBlue Truck, ",,"UTA, American Express, Mastercard, Eurotrafic, Visa, Carte Jubileo, Carte Club TotalEnergies, MOL, DKV, Mobility de TotalEnergies, Aral, Routex, ","AdBlue Truck, ","Café, Autoroutière, Wifi, AdBlue bidon, Justbip, Gonflage, ","Cagnotte TotalEnergies, ","Pompes PL, Truck, ",0
https://store.totalenergies.fr/fr_FR/NF080183,RELAIS PASSAGE D'AGEN,LE PASSAGE D'AGEN,"106 AVENUE DES PYRENEES  , 47520 LE PASSAGE D'AGEN, FRANCE","44.171244,0.608375","Borne AC43/DC50 kW, Borne DC175 kW, AdBlue Truck, Excellium 98, Excellium Diesel, Diesel, Super Ethanol e85, SP95 e10, GNR, ","Aspirateur, Lavage à Rouleaux, ","Carte Club TotalEnergies, American Express, Mastercard, Eurotrafic, Visa, Carte Jubileo, DKV, UTA, MOL, Mobility de TotalEnergies, Aral, Routex, ","AdBlue Truck, ","Café, Lavage à Rouleaux, Justbip, Toilettes, Gonflage, Wifi, ","Assistance Club 10 Jours, Jauge Cadeau, Cagnotte TotalEnergies, Adhésion station, Carte Club acceptée, ","Pompes PL, Truck, ",1
https://store.totalenergies.fr/fr_FR/NF080193,REL.SAVERNE MONSWILLER,ECKARTSWILLER,"AUT. A4-AIRE DE SAVERNE MONSWILLER  , 67700 ECKARTSWILLER, FRANCE","48.7598205,7.362804400000001","Excellium 98, Excellium Diesel, Diesel, GPL, Super Ethanol e85, SP95 e10, GNR, Borne AC43/DC50 kW, Borne DC175 kW, Excellium Grand Froid, AdBlue Truck, ",,"Mobility de TotalEnergies, American Express, DKV, Mastercard, Eurotrafic, UTA, Visa, Carte Jubileo, Carte Club TotalEnergies, MOL, Aral, Routex, ","AdBlue Truck, ","Défibrillateur, Café, Wifi, Autoroutière, Justbip, Toilettes, Gonflage, Click & Collect Lyf, ","Assistance Club 30 Jours, Club Truck, Cagnotte TotalEnergies, Jauge Cadeau, Adhésion station, Carte Club acceptée, Club Bus, ","Pompes PL, Truck, ",0
https://store.totalenergies.fr/fr_FR/NF088604,RELAIS LEZENNES,LEZENNES,"BOULEVARD DE TOURNAI  , 59260 LEZENNES, FRANCE","50.6136476,3.1316376","Excellium 98, Excellium Diesel, Diesel, Super Ethanol e85, SP95 e10, ","Lavage Haute Pression, Aspirateur, Lavage à Rouleaux, ","UTA, Mobility de TotalEnergies, MOL, DKV, American Express, Mastercard, Eurotrafic, Visa, Carte Jubileo, Carte Club TotalEnergies, Aral, Routex, ",,"Lavage à Rouleaux, Justbip, Gonflage, Café, Wifi, ","Assistance Club 10 Jours, Jauge Cadeau, Cagnotte TotalEnergies, Adhésion station, Carte Club acceptée, ","Pompes PL, Truck, ",1
https://store.totalenergies.fr/fr_FR/NF078142,RELAIS CHAMBERY,CHAMBERY,"VOIE RAPIDE URBAINE RN 201  , 73000 CHAMBERY, FRANCE","45.5830232,5.9113465","Excellium Grand Froid, AdBlue Truck, Excellium 98, Excellium Diesel, Diesel, GPL, SP95 e10, GNR, ","Lavage Haute Pression, Aspirateur, ","Mobility de TotalEnergies, Visa, Carte Club TotalEnergies, American Express, DKV, Eurotrafic, UTA, Carte Jubileo, MOL, Aral, Routex, Mastercard, ","AdBlue Truck, ","Café, Justbip, Boutique, Toilettes, Gonflage, Wifi, ","Assistance Club 10 Jours, Jauge Cadeau, Cagnotte TotalEnergies, Adhésion station, Carte Club acceptée, ","Pompes PL, Truck, ",0
https://store.totalenergies.fr/fr_FR/NF078144,REL.BATTENHEIM,BATTENHEIM,"A35 -AIRE DE BATTENHEIM  , 68390 BATTENHEIM, FRANCE","47.8009882,7.3935013","Excellium 98, Diesel, Super Ethanol e85, SP95 e10, GPL, AdBlue Truck, ",,"Mobility de TotalEnergies, American Express, DKV, Visa, Carte Club TotalEnergies, Mastercard, Eurotrafic, UTA, Carte Jubileo, MOL, Aral, Routex, ","AdBlue Truck, ","Défibrillateur, Café, Wifi, Justbip, Autoroutière, Toilettes, Gonflage, Click & Collect Lyf, ","Assistance Club 30 Jours, Club Truck, Cagnotte TotalEnergies, Jauge Cadeau, Adhésion station, Carte Club acceptée, Club Bus, ","Pompes PL, Truck, ",1
https://store.totalenergies.fr/fr_FR/NF078165,REL.LA GROSNE,MAZILLE,"RN 79  , 71250 MAZILLE, FRANCE","46.3937455,4.6000633","Super Ethanol e85, Excellium 98, Excellium Diesel, Diesel, Excellium Grand Froid, AdBlue Truck, SP95 e10, ",,"Eurotrafic, MOL, Mobility de TotalEnergies, American Express, DKV, Mastercard, UTA, Visa, Carte Jubileo, Carte Club TotalEnergies, Routex, Aral, ","AdBlue Truck, ","Café, Wifi, Justbip, Boutique, Toilettes, Gonflage, ","Assistance Club 30 Jours, Club Truck, Jauge Cadeau, Adhésion station, Carte Club acceptée, ","Pompes PL, Truck, ",0
